PL_Index,LP_Index,Pivot_Energy,PLEC_Flux_Density,LP_Flux_Density,PL_Flux_Density,Frac_Variability,Variability_Index,Npred,LP_beta,LP_SigCurv,Energy_Flux100,PLEC_SigCurv,Flux1000,Signif_Avg,PLEC_Exp_Index,Source_Name,ASSOC_FGL,CLASS1,ASSOC1
2.155106,2.1142292,3218.1,1.1934207e-14,1.2383039e-14,1.1362743e-14,0.66390496,28.91559,271.4384,0.049796414,0.3943623,1.3691241e-12,0.0,1.2155292e-10,5.523873,0.6666667,4FGL J0001.2+4741,,bcu,B3 2358+474
2.0816336,2.0524702,2065.1467,1.7596813e-13,1.7783626e-13,1.6903673e-13,0.42913482,51.74239,1204.7332,0.037898865,1.283201,7.807578e-12,1.1714555,7.0244544e-10,24.49722,0.6666667,4FGL J0001.2-0747,3FGL J0001.2-0748,bll,PMN J0001-0746
2.1089518,2.1180434,2869.2637,1.4729735e-14,1.3973058e-14,1.4220716e-14,0.0,9.374194,207.87938,-0.0102216955,0.0,1.3123957e-12,0.0,1.1772898e-10,5.2516475,0.6666667,4FGL J0001.4-0010,,bll,FBQS J0001-0011
2.670351,2.5454607,340.91953,4.228381e-11,4.368817e-11,3.817936e-11,1.0881721,1861.6034,5749.194,0.14890152,7.548741,2.2819954e-11,7.7873816,1.1854802e-09,46.425827,0.6666667,4FGL J0001.5+2113,3FGL J0001.4+2120,fsrq,TXS 2358+209
1.7810848,1.5809705,2729.53,4.3217176e-14,4.578294e-14,3.9823224e-14,0.36892056,25.609457,294.07422,0.12090139,2.6303291,3.2608037e-12,2.3296475,3.126771e-10,17.98248,0.6666667,4FGL J0001.6-4156,3FGL J0002.2-4152,bcu,2MASS J00013275-4155252
1.9064263,1.7634001,4281.748,6.650404e-15,5.9821333e-15,4.4687713e-15,0.93760574,26.910145,113.890945,0.263591,0.95878243,8.967048e-13,1.4944943,7.768278e-11,3.9360256,0.6666667,4FGL J0001.8-2153,,bcu,PKS 2359-221
1.8179636,1.5992589,3402.819,2.4875786e-14,2.6206439e-14,2.1449475e-14,0.0,10.370596,252.898,0.16006884,3.0929494,2.4419386e-12,3.30757,2.4617325e-10,16.672523,0.6666667,4FGL J0002.1-6728,3FGL J0002.0-6722,bll,SUMSS J000215-672653
2.1850238,2.1486943,2845.5408,1.6887608e-14,1.7676934e-14,1.4967823e-14,0.0,13.4271145,249.63875,0.11246348,1.0140743,1.4066326e-12,0.0,1.2360785e-10,5.2694592,0.6666667,4FGL J0002.3-0815,,bcu,WISEA J000236.06-081532.4
1.8815914,1.6310339,4102.314,7.712181e-15,7.750045e-15,5.2610665e-15,0.17401539,19.804802,69.35804,0.31822664,2.40811,7.1682444e-13,2.4563425,8.615688e-11,5.8108006,0.6666667,4FGL J0002.4-5156,,bcu,WISE J000229.20-515227.4
1.7810209,1.581871,3739.5159,2.602863e-14,2.712425e-14,2.3532872e-14,0.045827325,12.576806,294.852,0.12164961,2.7047467,3.4324832e-12,2.9938064,3.0578692e-10,19.605446,0.6666667,4FGL J0003.1-5248,3FGL J0003.2-5246,bcu,RBS 0006
2.1385322,1.7766196,2935.824,2.0675591e-14,2.0622496e-14,1.6078962e-14,0.0,13.482685,269.79892,0.29265162,1.9612951,1.5765103e-12,2.3264458,1.4059477e-10,5.5522084,0.6666667,4FGL J0003.2+2207,,bll,2MASX J00032450+2204559
1.8098495,1.7028366,7305.8384,2.1678885e-15,2.0558608e-15,1.7009128e-15,0.0,7.4973464,89.10475,0.11130984,0.8649359,9.197285e-13,0.81558174,7.497034e-11,4.7392464,0.6666667,4FGL J0003.3-0703,,bcu,TXS 0000-073
2.291044,2.1356444,1064.7019,4.674221e-13,4.7271404e-13,3.8857085e-13,0.6205151,58.547855,672.0352,0.2105951,3.7610042,3.0728527e-12,3.8960721,3.9288686e-10,16.83623,0.6666667,4FGL J0003.3-1928,,bcu,PKS 0000-197
2.3650298,2.365603,1344.9886,9.196082e-14,9.014583e-14,8.945901e-14,0.0,11.475375,466.3725,-0.0003238471,0.0,1.6868018e-12,0.0,1.3189912e-10,8.18711,0.6666667,4FGL J0003.3-5905,,bcu,PMN J0003-5905
2.1880455,2.133449,2365.224,3.345165e-14,3.343211e-14,2.3550843e-14,0.0,12.027017,167.62155,0.27131036,2.3701136,1.0183127e-12,2.3737943,1.6074046e-10,5.4730215,0.6666667,4FGL J0003.5+0717,,bcu,GB6 J0003+0717
2.1607301,2.0422213,1446.4923,1.7156637e-13,1.7970576e-13,1.497786e-13,0.0,7.8673267,443.74994,0.15395518,2.6393673,2.4902864e-12,2.5313537,3.2286623e-10,13.404971,0.6666667,4FGL J0003.9-1149,3FGL J0003.8-1151,bll,PMN J0004-1148
2.0532787,1.7820854,2795.2131,2.6743036e-14,2.6746307e-14,1.9337764e-14,0.45170566,19.498081,128.64413,0.30331296,2.515318,1.1113063e-12,2.6698763,1.6702095e-10,6.878327,0.6666667,4FGL J0004.0+0840,3FGL J0004.2+0843,bll,SDSS J000359.23+084138.1
2.6151664,2.5576503,683.055,1.6683884e-12,1.6769217e-12,1.4941286e-12,0.9457461,148.10793,1458.9464,0.09903291,2.226562,5.3413897e-12,2.5486255,3.5833916e-10,11.245723,0.6666667,4FGL J0004.3+4614,,fsrq,MG4 J000421+4615
2.4049885,2.322214,691.1044,1.582567e-12,1.6288045e-12,1.5070369e-12,0.84219086,189.31395,1429.9028,0.07929358,2.3719027,5.2421158e-12,2.3143551,4.6117943e-10,23.338678,0.6666667,4FGL J0004.4-4737,3FGL J0004.7-4740,fsrq,PKS 0002-478
2.638379,2.600829,598.2377,2.759766e-12,2.8355265e-12,2.3753154e-12,0.44942507,55.450825,1663.9377,0.16454981,3.2987463,6.0424777e-12,3.018605,3.7017406e-10,16.086971,0.6666667,4FGL J0005.9+3824,3FGL J0006.4+3825,fsrq,S4 0003+38
2.1678643,2.1632757,2149.5942,3.589329e-14,3.2884438e-14,2.6904716e-14,0.49450755,26.032305,233.91597,0.14924477,1.1535305,1.362915e-12,0.5745194,1.2051393e-10,5.414082,0.6666667,4FGL J0006.3-0620,,bll,PKS 0003-066
